,category,id,latitude,longitude
209,Grocery,eezy-freezy-san-francisco,37.7405255288,-122.466075495
210,American (Traditional),wayfare-tavern-san-francisco-2,37.7939484886,-122.402307987
211,American (New),maven-san-francisco,37.772233,-122.432007
212,Korean,ssisso-san-francisco,37.7858188326,-122.430276661
213,Cajun/Creole,boxing-room-san-francisco,37.7777625904,-122.422927118
214,Sandwiches,the-sandwich-spot-millbrae,37.6137532194,-122.405425843
215,Breakfast & Brunch,zazie-san-francisco,37.765244,-122.4501138
216,Burgers,super-duper-burgers-san-francisco-7,37.7928058551,-122.394083712
217,Specialty Food,jakes-place-san-francisco,37.7431581,-122.4047841
218,American (New),the-dark-horse-inn-san-francisco,37.715864,-122.440564
219,Mexican,pistos-san-francisco-3,37.799035099,-122.407290051
220,Food Delivery Services,sprig-san-francisco,37.7786871,-122.4212424
221,Korean,jin-mi-korean-cuisine-san-francisco,37.7815846467,-122.416728169
222,Health Markets,sunshine-health-foods-san-francisco-3,37.7920837402,-122.399368286
223,American (New),sons-and-daughters-san-francisco,37.7902105196,-122.409271089
224,Grocery,canyon-market-san-francisco,37.7341348284,-122.433825203
225,Juice Bars & Smoothies,jamba-juice-san-francisco-19,37.763777,-122.458659
226,French,cafe-claude-san-francisco,37.7904741208,-122.404450673
227,American (New),red-dog-restaurant-and-bar-san-francisco,37.7847479956,-122.395415074
228,Vegan,thai-idea-vegetarian-san-francisco-2,37.7834938,-122.4190575
229,Dim Sum,shanghai-dumpling-king-san-francisco-3,37.7316655,-122.4510301
230,Seafood,anchor-oyster-bar-san-francisco,37.7595785362,-122.434720892
231,American (Traditional),dusty-buns-san-francisco-2,37.7698878516,-122.41212414
232,Cheese Shops,cowgirl-creamery-san-francisco,37.794746,-122.3932846
233,Grocery,evergreen-supermarket-san-francisco,37.7563927,-122.418738
234,Caterers,calabria-bros-san-francisco-2,37.7220306396,-122.436477661
235,Italian,west-coast-cafe-san-bruno,37.623477,-122.410937
236,Mexican,primavera-san-francisco,37.7954575818,-122.393317223
237,Bubble Tea,boba-delight-san-francisco-6,37.782808,-122.417064
238,Street Vendors,street-food-dojo-san-francisco,37.7886684963,-122.402396175
239,"Beer, Wine & Spirits",pop-up-cafe-san-francisco-4,37.7856063247,-122.415061556
240,Grocery,safeway-south-san-francisco-2,37.6427727353,-122.421991418
241,Shopping Centers,ferry-building-marketplace-san-francisco,37.7955508393,-122.393403053
242,Bakeries,boudin-bakery-and-cafe-san-francisco-3,37.6181067305,-122.38615036
243,American (Traditional),sweet-maple-san-francisco,37.7857825729,-122.435052838
244,Grocery,market-delices-the-french-gourmet-online-store-san-francisco,37.7749295,-122.4194155
245,Grocery,el-grande-san-francisco,37.7538616,-122.482339
246,Italian,il-pollaio-san-francisco,37.800039,-122.4098505
247,Sports Bars,7-mile-house-sports-bar-and-grill-brisbane,37.7043136446,-122.407456189
248,Mexican,el-farolito-san-francisco-2,37.7527191996,-122.418355979
249,Food Trucks,hongry-kong-truck-san-francisco,37.7697479206,-122.411838882
250,American (New),cowgirl-creamery-sidekick-san-francisco,37.794746,-122.3932846
251,Breakfast & Brunch,red-cafe-san-francisco,37.750756,-122.4185101
252,Burgers,docs-of-the-bay-san-francisco-2,37.7799412721,-122.408909122
253,Coffee & Tea,cafe-algiers-san-francisco,37.7911591387,-122.396107805
254,Food Trucks,off-the-grid-un-plaza-san-francisco-2,37.7807553281,-122.417221069
255,Sushi Bars,elephant-sushi-san-francisco,37.7986359968,-122.418817176
256,Wineries,cork-n-pork-san-francisco,37.8258339754,-122.369355038
257,Grocery,grove-street-market-san-francisco,37.7777442932,-122.425056458
258,Sandwiches,boudin-bakery-and-cafe-san-francisco-6,37.7888471228,-122.401741035
259,Bakeries,boudin-bakery-and-cafe-san-francisco-5,37.726302,-122.475195
260,Halal,shahs-halal-food-san-francisco,37.72229,-122.47864
261,Pizza,nizarios-pizza-san-francisco-6,37.7226812,-122.4783079
262,Korean,707-sutter-san-francisco,37.7886616505,-122.412151024
263,Cafes,icafe-san-francisco-san-francisco-2,37.7950868295,-122.405393783
264,Coffee & Tea,starbucks-coffee-san-francisco-113,37.7641418237,-122.456282079
265,Pubs,the-pig-and-whistle-san-francisco,37.782129,-122.449641
266,Sushi Bars,elephant-sushi-golden-gate-san-francisco-2,37.7815064,-122.4169539
267,Flea Markets,treasure-island-flea-san-francisco,37.8206328462,-122.369842529
268,Grocery,trader-joes-san-francisco-6,37.7906854594,-122.41803068
269,Mexican,tacos-el-primo-san-francisco-2,37.7257894089,-122.389801
270,Grocery,trader-joes-san-francisco,37.7833608,-122.447699
271,Vietnamese,dinosaurs-san-francisco,37.7644154701,-122.431834859
272,Sushi Bars,wayo-sushi-san-francisco,37.788708,-122.422174
273,Grocery,lincoln-market-san-francisco,37.7484857,-122.4783024
274,Pizza,il-casaro-pizzeria-and-mozzarella-bar-san-francisco,37.7984832,-122.4073981
275,American (Traditional),just-for-you-cafe-san-francisco,37.7579585099,-122.388854027
276,Cajun/Creole,brendas-french-soul-food-san-francisco,37.78286,-122.419021
277,Grocery,sunset-supermarket-san-francisco,37.7381134033,-122.497268677
